                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                 0.4069,                0.43436,                 0.8487,                0.99478,                0.99657,                0.99493,                0.93036,                0.37865,                0.25042,                0.82288,              0.0001836,              0.0001836,              0.0001836
                    103,                0.40434,                0.42794,                 0.8512,                0.99358,                 0.9985,                  0.995,                0.92688,                0.38305,                0.24923,                0.82165,              0.0001834,              0.0001834,              0.0001834
                    104,                0.40985,                0.43316,                0.85461,                0.99304,                0.99555,                  0.995,                0.92424,                0.39753,                0.26064,                0.82612,              0.0001832,              0.0001832,              0.0001832
                    105,                0.41276,                0.43966,                0.85302,                 0.9939,                0.99507,                0.99489,                0.92685,                0.38369,                0.24836,                0.82303,               0.000183,               0.000183,               0.000183
                    106,                0.39586,                0.42168,                0.84835,                0.99053,                0.99792,                0.99496,                0.92929,                0.38245,                0.24881,                0.82136,             0.00018279,             0.00018279,             0.00018279
                    107,                0.39998,                0.43205,                0.85362,                0.99513,                0.99565,                0.99493,                0.92914,                0.38128,                0.24501,                0.82384,             0.00018259,             0.00018259,             0.00018259
                    108,                0.40481,                0.42768,                0.85537,                0.99323,                0.99821,                0.99496,                0.93114,                0.37611,                0.24742,                0.81963,             0.00018239,             0.00018239,             0.00018239
                    109,                0.40406,                0.43174,                0.85217,                0.99445,                0.99804,                  0.995,                0.93029,                0.37137,                0.24146,                0.81741,             0.00018219,             0.00018219,             0.00018219
                    110,                0.40075,                0.42609,                0.85069,                0.99491,                0.99541,                  0.995,                0.92773,                0.38175,                0.24699,                0.82389,             0.00018199,             0.00018199,             0.00018199
                    111,                0.39667,                 0.4188,                0.85089,                0.99309,                0.99688,                0.99493,                0.92579,                0.38334,                0.24443,                0.82363,             0.00018178,             0.00018178,             0.00018178
                    112,                0.39999,                0.42411,                0.85113,                0.99385,                0.99557,                0.99496,                0.92994,                0.38002,                0.24772,                0.82103,             0.00018158,             0.00018158,             0.00018158
                    113,                0.39901,                0.41175,                 0.8464,                0.99222,                0.99599,                  0.995,                0.92424,                0.38932,                0.24792,                0.82185,             0.00018138,             0.00018138,             0.00018138
                    114,                0.39825,                0.40839,                0.84885,                0.99229,                0.99548,                0.99476,                0.92904,                0.37516,                0.24165,                0.82142,             0.00018118,             0.00018118,             0.00018118
                    115,                0.39614,                0.41216,                0.85135,                0.98857,                0.99459,                  0.995,                0.93337,                0.37281,                0.24348,                0.81952,             0.00018098,             0.00018098,             0.00018098
                    116,                0.40432,                0.41915,                0.85476,                0.99176,                0.99732,                  0.995,                0.92786,                0.37503,                 0.2388,                0.82171,             0.00018077,             0.00018077,             0.00018077
                    117,                0.39909,                0.41925,                0.85024,                0.99232,                 0.9974,                0.99496,                0.93296,                0.37566,                0.24373,                0.82222,             0.00018057,             0.00018057,             0.00018057
                    118,                0.39853,                0.42077,                0.85059,                0.99265,                0.99743,                0.99496,                0.93048,                0.37422,                0.23935,                 0.8224,             0.00018037,             0.00018037,             0.00018037
                    119,                0.39421,                0.40837,                0.84929,                0.99422,                0.99587,                0.99496,                0.93025,                0.37564,                0.24042,                0.82229,             0.00018017,             0.00018017,             0.00018017
